Número de cliente,Nombre,RFC,Teléfonos,Correo,Dirección,Fecha de alta,Fecha de baja,Razón social,Tipo de persona,Segmento,Banco,Sucursal origen,Sucursal atiende,Promotor origen,Promotor atiende,ID del prospecto de cliente,Última calificación de buró,Concierge asignado,Promotores de apoyo asignados
CLI-4000082,Daniela Ponce Mora,CARL821102E4M,"5501234494, 8127654322",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",06/06/2025,,Daniela Ponce Mora,PF,Empresarial,Banco A,Mérida,Monterrey Centro,Carlos Ruiz,Carlos Ruiz,POF000082,674,USR-0003,
CLI-4000083,Sergio Bañuelos Tovar,MARÍ831203F1P,"5502469061, 8135308643",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",09/06/2025,,Sergio Bañuelos Tovar,PFAE,PyME,Banco B,Valle Oriente,San Pedro,María García,María García,,681,USR-0004,
CLI-4000084,Logística Integral MX SA,JOR840104G8S,"5503703628, 8142962964",logistica.integral@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",12/06/2025,,Logística Integral MX SA,PM,Banca personal,Banco A,Monterrey Centro,Guadalajara Sur,Jorge Pérez,Jorge Pérez,POF000084,688,USR-0005,PRM1003;PRM1007
CLI-4000085,Roberto Cano Lugo,LAUR850205H5V,"5504938195, 8150617285",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",15/06/2025,,Roberto Cano Lugo,PF,Preferente,Banco B,San Pedro,CDMX Reforma,Laura Méndez,Laura Méndez,,695,USR-0006,
CLI-4000086,Gabriela Ortiz Mena,DIEG860306I2Y,"5506172762, 8158271606",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",18/06/2025,,Gabriela Ortiz Mena,PFAE,Patrimonial,Banco A,Guadalajara Sur,Mérida,Diego Torres,Diego Torres,POF000086,702,USR-0007,
CLI-4000087,Servicios Corporativos Delta SA,SOF870407J9B,"5507407329, 8165925927",servicios.corporativos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",21/06/2025,,Servicios Corporativos Delta SA,PM,Empresarial,Banco B,CDMX Reforma,Valle Oriente,Sofía Ramírez,Sofía Ramírez,,709,USR-0008,PRM1003;PRM1007
CLI-4000088,Mónica Vela Duarte,LUIS880508K6E,"5508641896, 8173580248",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",24/06/2025,,Mónica Vela Duarte,PF,PyME,Banco A,Mérida,Monterrey Centro,Luis Hernández,Luis Hernández,POF000088,716,USR-0009,
CLI-4000089,Andrés Lozano Peña,PAOL890609L3H,"5509876463, 8181234569",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",27/06/2025,,Andrés Lozano Peña,PFAE,Banca personal,Banco B,Valle Oriente,San Pedro,Paola Castro,Paola Castro,,723,USR-0010,
CLI-4000090,Industrias Pacífico SA de CV,MIG900710M0K,"5511111030, 8188888890",industrias.pacifico@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",30/06/2025,,Industrias Pacífico SA de CV,PM,Preferente,Banco A,Monterrey Centro,Guadalajara Sur,Miguel Díaz,Miguel Díaz,POF000090,730,USR-0011,PRM1003;PRM1007
CLI-4000091,Héctor Maldonado Ruiz,ANAL910811N7N,"5512345597, 8196543211",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",03/07/2025,,Héctor Maldonado Ruiz,PF,Patrimonial,Banco B,San Pedro,CDMX Reforma,Ana López,Ana López,,737,USR-0012,
CLI-4000092,Verónica Campos León,CARL920912O4Q,"5513580164, 8104197532",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",06/07/2025,,Verónica Campos León,PFAE,Empresarial,Banco A,Guadalajara Sur,Mérida,Carlos Ruiz,Carlos Ruiz,POF000092,744,USR-0013,
CLI-4000093,Alimentos Selectos SA de CV,MAR931013P1T,"5514814731, 8111851853",alimentos.selectos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",09/07/2025,,Alimentos Selectos SA de CV,PM,PyME,Banco B,CDMX Reforma,Valle Oriente,María García,María García,,751,USR-0014,PRM1003;PRM1007
CLI-4000094,Daniela Ponce Mora,JORG941114Q8W,"5516049298, 8119506174",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",12/07/2025,,Daniela Ponce Mora,PF,Banca personal,Banco A,Mérida,Monterrey Centro,Jorge Pérez,Jorge Pérez,POF000094,758,USR-0015,
CLI-4000095,Sergio Bañuelos Tovar,LAUR951215R5Z,"5517283865, 8127160495",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",15/07/2025,,Sergio Bañuelos Tovar,PFAE,Preferente,Banco B,Valle Oriente,San Pedro,Laura Méndez,Laura Méndez,,765,USR-0016,
CLI-4000096,Constructora del Norte SA de CV,DIE960116S2C,"5518518432, 8134814816",constructora.del@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",18/07/2025,,Constructora del Norte SA de CV,PM,Patrimonial,Banco A,Monterrey Centro,Guadalajara Sur,Diego Torres,Diego Torres,POF000096,772,USR-0017,PRM1003;PRM1007
CLI-4000097,Roberto Cano Lugo,SOFÍ970217T9F,"5519752999, 8142469137",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",21/07/2025,,Roberto Cano Lugo,PF,Empresarial,Banco B,San Pedro,CDMX Reforma,Sofía Ramírez,Sofía Ramírez,,779,USR-0018,
CLI-4000098,Gabriela Ortiz Mena,LUIS980318U6I,"5520987566, 8150123458",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",24/07/2025,,Gabriela Ortiz Mena,PFAE,PyME,Banco A,Guadalajara Sur,Mérida,Luis Hernández,Luis Hernández,POF000098,786,USR-0019,
CLI-4000099,Grupo Aurora SAPI de CV,PAO990419V3L,"5522222133, 8157777779",grupo.aurora@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",27/07/2025,,Grupo Aurora SAPI de CV,PM,Banca personal,Banco B,CDMX Reforma,Valle Oriente,Paola Castro,Paola Castro,,793,USR-0020,PRM1003;PRM1007
CLI-4000100,Mónica Vela Duarte,MIGU800520W0O,"5523456700, 8165432100",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",30/07/2025,,Mónica Vela Duarte,PF,Preferente,Banco A,Mérida,Monterrey Centro,Miguel Díaz,Miguel Díaz,POF000100,800,USR-0021,
